benchmark_model,method,n,L,N,spot_eval,x_eval,price_benchmark,price_cfft,abs_price_err,delta_benchmark,delta_z,abs_delta_z_err,rel_delta_z_err,delta_fd,abs_delta_fd_err,rel_delta_fd_err
black_scholes_call,boundary_control,64,10.0,128,100.0,4.605170185988092,8.433318690109608,-0.978177780335848,9.411496470445456,0.5596176923702425,0.004141810258230995,0.5554758821120115,0.9925988575509674,-0.005995490185822583,0.5656131825560651,1.0107135465292902
black_scholes_call,old_2017,64,10.0,128,100.0,4.605170185988092,8.433318690109608,2.5368804997694028,5.896438190340206,0.5596176923702425,-2.0098603882115293,2.5694780805817716,4.591488288547188,0.006694027364381441,0.5529236650058611,0.98803821348816
black_scholes_call,boundary_control,64,10.0,256,100.0,4.605170185988092,8.433318690109608,-0.7445826353733797,9.177901325482988,0.5596176923702425,0.004806820668031564,0.5548108717022109,0.9914105276985213,-0.0065048351099534045,0.5661225274801959,1.0116237123998035
black_scholes_call,old_2017,64,10.0,256,100.0,4.605170185988092,8.433318690109608,4694.813300816329,4686.379982126219,0.5596176923702425,-2.6411375021615897,3.2007551945318324,5.71953896056277,9.232348122865194,8.672730430494951,15.49759871558364
black_scholes_call,boundary_control,64,12.0,128,100.0,4.605170185988092,8.433318690109608,-0.7031590582630953,9.136477748372704,0.5596176923702425,0.0007325830088092801,0.5588851093614332,0.9986909223586079,-0.00155225586318386,0.5611699482334264,1.0027737791073212
black_scholes_call,old_2017,64,12.0,128,100.0,4.605170185988092,8.433318690109608,-0.4604520098525057,8.893770699962115,0.5596176923702425,-0.005680270801652771,0.5652979631718953,1.0101502702275087,0.0008797098600001086,0.5587379825102424,0.9984280163547473
black_scholes_call,boundary_control,64,12.0,256,100.0,4.605170185988092,8.433318690109608,-0.3544256055450661,8.787744295654674,0.5596176923702425,0.0015490990576618503,0.5580685933125806,0.997231861896466,-0.0021870054285905473,0.561804697798833,1.0039080348216431
black_scholes_call,old_2017,64,12.0,256,100.0,4.605170185988092,8.433318690109608,5832.817052501109,5824.383733811,0.5596176923702425,-14.481788971573284,15.041406663943526,26.878004160726473,9.57925375163788,9.019636059267638,16.117496251888078
black_scholes_call,boundary_control,128,10.0,128,100.0,4.605170185988092,8.433318690109608,-0.9779490828351763,9.411267772944784,0.5596176923702425,0.00412202590920644,0.5554956664610361,0.9926342108810969,-0.005993202236327001,0.5656108946065695,1.0107094581140619
black_scholes_call,old_2017,128,10.0,128,100.0,4.605170185988092,8.433318690109608,2.9027494902634436,5.530569199846164,0.5596176923702425,-2.776350310289436,3.335968002659678,5.961155353273936,0.007457833372667466,0.552159858997575,0.9866733424008093
black_scholes_call,boundary_control,128,10.0,256,100.0,4.605170185988092,8.433318690109608,-0.7441659495166445,9.177484639626252,0.5596176923702425,0.004788605881328313,0.5548290864889142,0.9914430763240413,-0.0065006599313275045,0.56611835230157,1.0116162516302767
black_scholes_call,old_2017,128,10.0,256,100.0,4.605170185988092,8.433318690109608,3997.725749952053,3989.2924312619434,0.5596176923702425,-6.789289957566138,7.34890764993638,13.132014498702357,7.861873515425832,7.30225582305559,13.048650753208182
black_scholes_call,boundary_control,128,12.0,128,100.0,4.605170185988092,8.433318690109608,-0.7030821315825163,9.136400821692124,0.5596176923702425,0.0007231744964646996,0.5588945178737778,0.9987077347511981,-0.0015514850459363717,0.5611691774161789,1.0027724017076107
black_scholes_call,old_2017,128,12.0,128,100.0,4.605170185988092,8.433318690109608,-0.46050263515203904,8.893821325261648,0.5596176923702425,-0.007102855103650234,0.5667205474738928,1.012692334785854,0.000879159044403739,0.5587385333258388,0.9984290006259808
black_scholes_call,boundary_control,128,12.0,256,100.0,4.605170185988092,8.433318690109608,-0.3543085846872592,8.787627274796868,0.5596176923702425,0.0015392342099043706,0.5580784581603382,0.9972494897304177,-0.002185834081072689,0.5618035264513151,1.0039059417006897
black_scholes_call,old_2017,128,12.0,256,100.0,4.605170185988092,8.433318690109608,5286.195919441116,5277.762600751006,0.5596176923702425,-25.036892754132953,25.596510446503196,45.73928021841127,8.684685419106003,8.125067726735761,14.518961493733876
