benchmark_model,method,n,L,N,spot_eval,x_eval,price_benchmark,price_cfft,abs_price_err,delta_benchmark,delta_z,abs_delta_z_err,rel_delta_z_err,delta_fd,abs_delta_fd_err,rel_delta_fd_err
black_scholes_call,new_boundary_control,64,10.0,128,60.0,4.0943445622221,0.030373595562480482,-0.37995138295464526,0.41032497851712574,0.008105545354392896,0.005906773254738407,0.0021987720996544885,0.27126763265383963,-0.0078046410008550575,0.015910186355247952,1.9628767294017102
black_scholes_call,new_boundary_control,64,10.0,128,62.0,4.127134385045092,0.05076255483082304,-0.43044870755233455,0.4812112623831576,0.012539652060149453,0.0019259549240238157,0.010613697136125637,0.8464108162821814,-0.0034745670126935272,0.01601421907284298,1.2770863972961077
black_scholes_call,new_boundary_control,64,10.0,128,64.0,4.1588830833596715,0.0816807452189463,-0.43044870755233455,0.5121294527712809,0.018697030468110387,0.0018657688326480714,0.016831261635462315,0.9002104191983682,-0.0033659867935468546,0.022063017261657242,1.1800278819295864
black_scholes_call,new_boundary_control,64,10.0,128,66.0,4.189654742026425,0.12695053437696524,-0.4136112508901138,0.540561785267079,0.02695386730899052,0.01091619574005567,0.01603767156893485,0.5950044713466943,-0.012952060949248176,0.039905928258238695,1.4805269982511187
black_scholes_call,new_boundary_control,64,10.0,128,68.0,4.219507705176107,0.1911407177131732,-0.4136112508901138,0.604751968603287,0.037676280122255656,0.010595131159465797,0.02708114896278986,0.7187851049762428,-0.012571117980152641,0.050247398102408296,1.3336613365056385
black_scholes_call,new_boundary_control,64,10.0,128,70.0,4.248495242049359,0.2795212669100544,-0.4136112508901138,0.6931325178001682,0.05119510528988802,0.010292413126338204,0.04090269216354982,0.7989570864624993,-0.01221194318071971,0.06340704847060773,1.238537319370096
black_scholes_call,new_boundary_control,64,10.0,128,72.0,4.276666119016055,0.3979679317575542,-0.5640168360914564,0.9619847678490105,0.06778139522041526,-0.004425649528602995,0.07220704474901826,1.0652929836308538,0.002543314510475724,0.06523808070993954,0.9624776901949977
black_scholes_call,new_boundary_control,64,10.0,128,74.0,4.30406509320417,0.5528206356874126,-0.5640168360914564,1.116837471778869,0.08762510065092821,-0.004306037379181292,0.09193113803010951,1.0491415969533118,0.002474576280462866,0.08515052437046534,0.9717595042735434
black_scholes_call,new_boundary_control,64,10.0,128,76.0,4.330733340286331,0.7507041756460264,-0.5640168360914564,1.3147210117374828,0.11081898332966172,-0.004192720606044942,0.11501170393570667,1.0378339566026566,0.002409455852029633,0.10840952747763209,0.9782577336514445
black_scholes_call,new_boundary_control,64,10.0,128,78.0,4.356708826689592,0.9983231894405851,-0.3849989626472619,1.383322152087847,0.13734913700303775,0.016830002832811695,0.12051913417022606,0.877465536369264,-0.018191095587905583,0.15554023259094332,1.1324441928419489
black_scholes_call,new_boundary_control,64,10.0,128,80.0,4.382026634673881,1.302245338709639,-0.3849989626472619,1.687244301356901,0.16709271590694225,0.016409252761991403,0.15068346314495085,0.9017955230847401,-0.017736318198207944,0.1848290341051502,1.1061465672033586
black_scholes_call,new_boundary_control,64,10.0,128,82.0,4.406719247264253,1.668687075554752,-0.3849989626472619,2.053686038202014,0.19982270258658968,0.01600902708486966,0.18381367550172004,0.9198838426382887,-0.017303725071422384,0.21712642765801207,1.0865953910513453
black_scholes_call,new_boundary_control,64,10.0,128,84.0,4.430816798843313,2.103315343098462,-0.7857208135690557,2.8890361566675176,0.2352188905326163,-0.00660237554078389,0.24182126607340018,1.028069070157732,0.004072645359691889,0.2311462451729244,0.9826857215826925
black_scholes_call,new_boundary_control,64,10.0,128,86.0,4.454347296253507,2.6110763982831884,-0.7857208135690557,3.396797211852244,0.2728837770109204,-0.0064488319235563585,0.27933260893447676,1.0236321557631411,0.003977932676908357,0.26890584433401205,0.985422612071405
black_scholes_call,new_boundary_control,64,10.0,128,88.0,4.477336814478207,3.1960600256351697,-0.7857208135690557,3.9817808392042253,0.3123617856665366,-0.006302267561657349,0.31866405322819397,1.020176179836497,0.0038875251160695305,0.30847426055046706,0.9875544151222785
black_scholes_call,new_boundary_control,64,10.0,128,90.0,4.499809670330265,3.8614041422311303,-0.33154549230130587,4.192949634532436,0.35316016226972924,0.012393324278907734,0.3407668379908215,0.9649073547841385,-0.013685828747860791,0.36684599101759,1.0387524704369349
black_scholes_call,new_boundary_control,64,10.0,128,92.0,4.5217885770490405,4.609241550045866,-0.33154549230130587,4.940787042347171,0.3947699812553859,0.012123904185887999,0.38264607706949794,0.9692886876876163,-0.013388310731602947,0.4081582919869889,1.0339142066704958
black_scholes_call,new_boundary_control,64,10.0,128,94.0,4.543294782270004,5.440687671295784,-0.33154549230130587,5.77223316359709,0.4366859219891813,0.011865948777677616,0.4248199732115037,0.9728272697145214,-0.013103453056462459,0.44978937504564376,1.030006584587783
black_scholes_call,new_boundary_control,64,10.0,128,96.0,4.564348191467836,6.355865710945771,-0.33154549230130587,6.687411203247077,0.47842377345126075,0.011618741511475999,0.46680503193978473,0.975714539794583,-0.01283046445111949,0.49125423790238026,1.0268182000207953
black_scholes_call,new_boundary_control,64,10.0,128,98.0,4.584967478670572,7.353963938187185,-0.978177780335848,8.332141718523033,0.5195349581897009,0.004226336998194892,0.515308621191506,0.991865153765742,-0.00611784712839039,0.5256528053180912,1.0117756217015843
black_scholes_call,new_boundary_control,64,10.0,128,100.0,4.605170185988092,8.433318690109608,-0.978177780335848,9.411496470445456,0.5596176923702425,0.004141810258230995,0.5554758821120115,0.9925988575509674,-0.005995490185822583,0.5656131825560651,1.0107135465292902
black_scholes_call,new_boundary_control,64,10.0,128,102.0,4.624972813284271,9.591516233298826,-0.978177780335848,10.569694013634674,0.5983246900105388,0.004060598292383328,0.5942640917181554,0.9932133867109648,-0.0058779315547280225,0.6042026215652668,1.0098239829525077
black_scholes_call,new_boundary_control,64,10.0,128,104.0,4.6443908991413725,10.825506683634117,-0.4252250264547837,11.250731710088901,0.6353675581216983,-0.00029745709088080076,0.6356650152125791,1.000468165374638,-0.001981352469594209,0.6373489105912925,1.003118435060568
black_scholes_call,new_boundary_control,64,10.0,128,106.0,4.663439094112067,12.13172366615931,-0.4252250264547837,12.556948692614094,0.6705182072544463,-0.00029184469293965355,0.670810051947386,1.0004352524506899,-0.0019439684607339411,0.6724621757151803,1.0028992030935207
black_scholes_call,new_boundary_control,64,10.0,128,108.0,4.68213122712422,13.506204172350948,-0.4252250264547837,13.931429198805732,0.7036077185022969,-0.0002864401615889193,0.7038941586638858,1.0004071020741483,-0.0019079690447944236,0.7055156875470913,1.0027116943072423
black_scholes_call,new_boundary_control,64,10.0,128,110.0,4.700480365792417,14.944704023535394,-0.4252250264547837,15.369929049990178,0.7345231686891708,-0.0002812321586509389,0.7348044008478217,1.0003828771788816,-0.0018732786985254342,0.7363964473876962,1.0025503330301595
black_scholes_call,new_boundary_control,64,10.0,128,112.0,4.718498871295094,16.442805373323324,-0.4252250264547837,16.868030399778107,0.7632029291503626,-0.0002762101558178864,0.7634791393061805,1.0003619091925202,-0.001839827293194623,0.7650427564435572,1.002410665922421
